Name,URL,Address,City,Zip,State,Price,Bath,Bed,SquareFt
"Coming Soon West Covina, CA 91790",https://www.forsalebyowner.com/listing/_/641a730e57f045f54b09b3e4,Coming Soon,West Covina,91790,CA,703000,3,3,
"Coming Soon West Covina, CA 91790",https://www.forsalebyowner.com/listing/_/641a730d72f30770630e9544,Coming Soon,West Covina,91790,CA,643000,3,3,
"1692 W Lexington Lane San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/64128a41bd52b567770aa589,1692 W Lexington Lane,San Pedro,90732,CA,949740,3.5,4,
"528 E. Grove Pomona, CA 91767",https://www.forsalebyowner.com/listing/_/640bf4ad17ba66e8100bc324,528 E. Grove,Pomona,91767,CA,785990,3,4,
"528 E. Grove Pomona, CA 91767",https://www.forsalebyowner.com/listing/_/640bf4ac198106d42403c725,528 E. Grove,Pomona,91767,CA,766990,2.5,3,
"528 E. Grove Pomona, CA 91767",https://www.forsalebyowner.com/listing/_/640bf4abc484c6029c00d4a4,528 E. Grove,Pomona,91767,CA,736990,2.5,3,
"20517 Deer Grass Ct Porter Ranch, CA 91326",https://www.forsalebyowner.com/listing/_/640aa70cee43aa3ec20bd434,20517 Deer Grass Ct,Porter Ranch,91326,CA,2399995,5.5,5,
"Coming Soon West Covina, CA 91790",https://www.forsalebyowner.com/listing/_/6407fe279a2c6d3893008b05,Coming Soon,West Covina,91790,CA,604000,2.5,2,
"1158 Poppy Court Montebello, CA 90640",https://www.forsalebyowner.com/listing/_/640407760ee3e0b8cd0d9154,1158 Poppy Court,Montebello,90640,CA,1004990,3.5,4,
"505 Tamarind Way, Unit E West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/63fd6ff3f32e4efee008a654,"505 Tamarind Way, Unit E",West Covina,91791,CA,664990,2.5,2,
"28416 Orange Park Drive Castaic, CA 91384",https://www.forsalebyowner.com/listing/_/63f9831bf104f356db078a36,28416 Orange Park Drive,Castaic,91384,CA,1010540,3,3,
"11707 Toyon Drive Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/63f6e0905dfe350f8404cde4,11707 Toyon Drive,Chatsworth,91311,CA,1846188,5.5,5,
"17812 Cirrus Drive Santa Clarita, CA 91350",https://www.forsalebyowner.com/listing/_/63f04899aacc28ec8f030f85,17812 Cirrus Drive,Santa Clarita,91350,CA,820566,2,2,
"28 Primrose Ct Montebello, CA 90640",https://www.forsalebyowner.com/listing/_/63e5bcc465bac3e859069944,28 Primrose Ct,Montebello,90640,CA,2098000,5.5,5,
"45046 West View Drive Lancaster, CA 93536",https://www.forsalebyowner.com/listing/_/63e46a545e03da9e410540b4,45046 West View Drive,Lancaster,93536,CA,515990,2,3,
"18616 Rorimer St La Puente, CA 91744",https://www.forsalebyowner.com/listing/_/63ddd0a3d7d64d2dae0839c6,18616 Rorimer St,La Puente,91744,CA,618990,2.5,2,
"18616 Rorimer St La Puente, CA 91744",https://www.forsalebyowner.com/listing/_/63ddd0a3e2307c7b7809e724,18616 Rorimer St,La Puente,91744,CA,572990,2.5,2,
"1682 W Lexington Lane San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/63dc7f8ea43ed2bea60ec425,1682 W Lexington Lane,San Pedro,90732,CA,881555,2.5,3,
"1688 W Lexington Lane San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/63dc7f8ea43ed2bea60ec424,1688 W Lexington Lane,San Pedro,90732,CA,870710,2.5,3,
"27359 Dialogue Way Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/63d89319bd825703d00e1807,27359 Dialogue Way,Valencia,91381,CA,1576995,5.5,5,
"27355 Dialogue Way Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/63d89317bd825703d00e1806,27355 Dialogue Way,Valencia,91381,CA,1681995,4.5,5,
"27812 Marquee Dr. Valencia, CA 91355",https://www.forsalebyowner.com/listing/_/63abbe916692386035090388,27812 Marquee Dr.,Valencia,91355,CA,1164105,3,4,
"Plaza del Amo & S. Western Avenue Torrance, CA 90501",https://www.forsalebyowner.com/listing/_/6398185b6d5d90ef28058db5,Plaza del Amo & S. Western Avenue,Torrance,90501,CA,829990,2.5,3,
"Plaza del Amo & S. Western Avenue Torrance, CA 90501",https://www.forsalebyowner.com/listing/_/639818aae4676a50fd0533c5,Plaza del Amo & S. Western Avenue,Torrance,90501,CA,779990,2.5,3,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb277cda62f81550ef944,1651 E Rowland Ave,West Covina,91791,CA,664990,2.5,2,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb27997a0eeb2e409e164,1651 E Rowland Ave,West Covina,91791,CA,664990,2.5,2,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb2a034a383085d0f5714,1651 E Rowland Ave,West Covina,91791,CA,664990,2.5,2,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb29ed041efec4b0e6b16,1651 E Rowland Ave,West Covina,91791,CA,769990,3.5,3,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb2a4c1bd839d1f007a06,1651 E Rowland Ave,West Covina,91791,CA,739990,2.5,2,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb298d041efec4b0e6b14,1651 E Rowland Ave,West Covina,91791,CA,924990,3,4,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb29b8a54e3ac120fa824,1651 E Rowland Ave,West Covina,91791,CA,876990,2.5,3,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb2a14225e34ae00221f4,1651 E Rowland Ave,West Covina,91791,CA,819990,2.5,3,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb289eaaa10d6a1087fc6,1651 E Rowland Ave,West Covina,91791,CA,924990,3,4,
"1651 E Rowland Ave West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/638eb28a69ba081eab0773b5,1651 E Rowland Ave,West Covina,91791,CA,876990,2.5,3,
"27517 Evergreen Pl. San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/638ad47f1ea2838a8c038724,27517 Evergreen Pl.,San Pedro,90732,CA,1255000,3,5,
"27529 Evergreen Pl. San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/638ad57ba0829cfe6c051074,27529 Evergreen Pl.,San Pedro,90732,CA,1412190,3,5,
"27158 Valley Oak Pl. Valencia, CA 91355",https://www.forsalebyowner.com/listing/_/63897e272a063dcccf0f4b44,27158 Valley Oak Pl.,Valencia,91355,CA,659034,3.5,3,
"28706 Wildflower Terrace Castaic, CA 91384",https://www.forsalebyowner.com/listing/_/6388550e0a4d0eb83a07acd6,28706 Wildflower Terrace,Castaic,91384,CA,1057176,3,3,
"16424 Whittier Blvd Whittier, CA 90603",https://www.forsalebyowner.com/listing/_/6386ca8d6d967d0bdb0c5554,16424 Whittier Blvd,Whittier,90603,CA,799990,2.5,3,
"2105 Cork Oak St Palmdale, CA 93551",https://www.forsalebyowner.com/listing/_/637cc673902068b7e20dcb04,2105 Cork Oak St,Palmdale,93551,CA,699990,3,4,
"27730 Marquee Dr. Valencia, CA 91355",https://www.forsalebyowner.com/listing/_/6377c492af06cdb3a60996da,27730 Marquee Dr.,Valencia,91355,CA,1208744,3,4,
"W. Avenue I and 90th St. W Lancaster, CA 93536",https://www.forsalebyowner.com/listing/_/6377a70892b0bc5c74076279,W. Avenue I and 90th St. W,Lancaster,93536,CA,540000,2,4,
"W. Avenue I and 90th St. W Lancaster, CA 93536",https://www.forsalebyowner.com/listing/_/6377a6bd14fcfc7b100106c9,W. Avenue I and 90th St. W,Lancaster,93536,CA,508000,2,3,
"W. Avenue I and 90th St. W Lancaster, CA 93536",https://www.forsalebyowner.com/listing/_/6377a7b9e6c738b897067036,W. Avenue I and 90th St. W,Lancaster,93536,CA,501000,2,3,
"1651 Rosewell Road West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/637789b3113c199c66091955,1651 Rosewell Road,West Covina,91791,CA,889990,2.5,3,
"27706 Marquee Dr. Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/636a11dce42d93384809b884,27706 Marquee Dr.,Valencia,91381,CA,1154990,2.5,4,
"2017 Dewdrop Upland, CA 91786",https://www.forsalebyowner.com/listing/_/635b471f5c3e689b3f007955,2017 Dewdrop,Upland,91786,CA,739600,3,4,
"2017 Dewdrop Upland, CA 91786",https://www.forsalebyowner.com/listing/_/635b471be10f728e93091404,2017 Dewdrop,Upland,91786,CA,694100,2.5,3,
"2179 Willow Wisp Dr Upland, CA 91786",https://www.forsalebyowner.com/listing/_/635b471e0851a8502a05cf85,2179 Willow Wisp Dr,Upland,91786,CA,605990,3,3,
"2179 Willow Wisp Dr Upland, CA 91786",https://www.forsalebyowner.com/listing/_/635b471b1bafffa595046ee5,2179 Willow Wisp Dr,Upland,91786,CA,586990,2.5,3,
"2179 Willow Wisp Dr Upland, CA 91786",https://www.forsalebyowner.com/listing/_/635b471a16d3f2aa770ee715,2179 Willow Wisp Dr,Upland,91786,CA,636490,4,4,
"11834 N Churchill Way Porter Ranch, CA 91326",https://www.forsalebyowner.com/listing/_/643e1154e7c312ac3f03a474,11834 N Churchill Way,Porter Ranch,91326,CA,2484995,5.5,5,
"11842 N Churchill Way Porter Ranch, CA 91326",https://www.forsalebyowner.com/listing/_/643e11539633892cc900df84,11842 N Churchill Way,Porter Ranch,91326,CA,2612995,5.5,5,
"27627 Dayton Ave. San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/635abc8adba3e9c38d00c6d4,27627 Dayton Ave.,San Pedro,90732,CA,1447253,3,5,
